State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temparetue,Rainfall,Humidity,Sun hours
West Bengal,HOOGHLY,2009,Kharif     ,Urad,69,30,27.5,1299,82,8.3
West Bengal,HOOGHLY,2009,Rabi       ,Khesari,4,5,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Rabi       ,Masoor,166,93,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Rabi       ,Moong(Green Gram),75,59,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Rabi       ,Peas & beans (Pulses),554,414,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Rabi       ,Rapeseed &Mustard,6538,5189,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Rabi       ,Urad,25,19,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Rabi       ,Wheat,342,780,21.3,205,69,9.1
West Bengal,HOOGHLY,2009,Summer     ,Moong(Green Gram),14,5,29.8,243,66,9.5
West Bengal,HOOGHLY,2009,Summer     ,Rice,103421,317238,29.8,243,66,9.5
West Bengal,HOOGHLY,2009,Annual ,Coconut ,1100,16241.5,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Dry chillies,1098,976,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Groundnut,9161,12752,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Potato,87976,1807873,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Sannhamp,22,88,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Sesamum,17576,16801,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Sugarcane,198,10872,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Annual ,Turmeric,182,328,25.9,1617,79,8.8
West Bengal,HOOGHLY,2009,Winter     ,Rice,194577,524783,19.3,47,61,9.4
West Bengal,HOOGHLY,2010,Autumn     ,Rice,9368,25275,25.1,345,81,7.8
West Bengal,HOOGHLY,2010,Kharif     ,Dry ginger,83,134,26.8,1362,81,8.1
West Bengal,HOOGHLY,2010,Kharif     ,Jute,31005,603883,26.8,1362,81,8.1
West Bengal,HOOGHLY,2010,Kharif     ,Maize,21,50,26.8,1362,81,8.1
West Bengal,HOOGHLY,2010,Kharif     ,Sunflower,58,70,26.8,1362,81,8.1
West Bengal,HOOGHLY,2010,Kharif     ,Urad,18,4,26.8,1362,81,8.1
West Bengal,HOOGHLY,2010,Rabi       ,Masoor,1034,633,22.1,216,67,9
West Bengal,HOOGHLY,2010,Rabi       ,Moong(Green Gram),75,59,22.1,216,67,9
West Bengal,HOOGHLY,2010,Rabi       ,Peas & beans (Pulses),1284,1626,22.1,216,67,9
West Bengal,HOOGHLY,2010,Rabi       ,Rapeseed &Mustard,3418,2600,22.1,216,67,9
West Bengal,HOOGHLY,2010,Rabi       ,Urad,25,19,22.1,216,67,9
West Bengal,HOOGHLY,2010,Rabi       ,Wheat,331,660,22.1,216,67,9
West Bengal,HOOGHLY,2010,Summer     ,Moong(Green Gram),25,10,28.4,253,68,9.4
West Bengal,HOOGHLY,2010,Summer     ,Rice,107679,289463,28.4,253,68,9.4
West Bengal,HOOGHLY,2010,Annual ,Arecanut,122,360,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Coconut ,1175,17519,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Dry chillies,1094,1009,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Groundnut,8638,13622,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Potato,92174,2350043,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Sannhamp,22,88,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Sesamum,19076,20267,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Sugarcane,107,8223,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Annual ,Turmeric,196,389,27.1,1721,78,8.9
West Bengal,HOOGHLY,2010,Winter     ,Rice,193277,535211,18.1,49,62,9.5
West Bengal,HOOGHLY,2011,Autumn     ,Rice,7103,18090,25.1,269,83,7.9
West Bengal,HOOGHLY,2011,Kharif     ,Dry ginger,83,134,26.9,1390,86,8.1
West Bengal,HOOGHLY,2011,Kharif     ,Jute,31614,585847,26.9,1390,86,8.1
West Bengal,HOOGHLY,2011,Kharif     ,Maize,257,670,26.9,1390,86,8.1
West Bengal,HOOGHLY,2011,Kharif     ,Sunflower,48,57,26.9,1390,86,8.1
West Bengal,HOOGHLY,2011,Rabi       ,Gram,395,295,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Horse-gram,1,1,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Khesari,170,210,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Masoor,549,337,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Moong(Green Gram),20,15,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Peas & beans (Pulses),622,376,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Rapeseed &Mustard,3944,3112,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Urad,5,4,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Rabi       ,Wheat,1238,2661,22.1,234,71,9.2
West Bengal,HOOGHLY,2011,Summer     ,Moong(Green Gram),6,2,30.1,235,67,9.6
West Bengal,HOOGHLY,2011,Summer     ,Rice,96257,298814,30.1,235,67,9.6
West Bengal,HOOGHLY,2011,Annual ,Arecanut,146,423,26.9,1711,78,8.9
West Bengal,HOOGHLY,2011,Annual ,Coconut ,1189,17264300,26.9,1711,78,8.9
West Bengal,HOOGHLY,2011,Annual ,Dry chillies,978,914,26.9,1711,78,8.9
West Bengal,HOOGHLY,2011,Annual ,Groundnut,8640,13599,26.9,1711,78,8.9
