State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temparetue,Rainfall,Humidity,Sun hours
West Bengal,HOWRAH,2009,Autumn     ,Rice,3652,8259,27,395,85,8
West Bengal,HOWRAH,2009,Kharif     ,Dry ginger,41,62,28,1369,85,8.5
West Bengal,HOWRAH,2009,Kharif     ,Jute,6220,108127,28,1369,85,8.5
West Bengal,HOWRAH,2009,Kharif     ,Maize,77,78,28,1369,85,8.5
West Bengal,HOWRAH,2009,Kharif     ,Sunflower,53,43,28,1369,85,8.5
West Bengal,HOWRAH,2009,Kharif     ,Urad,1,1,28,1369,85,8.5
West Bengal,HOWRAH,2009,Rabi       ,Gram,8,8,22,217,68,9.2
West Bengal,HOWRAH,2009,Rabi       ,Khesari,25,21,22,217,68,9.2
West Bengal,HOWRAH,2009,Rabi       ,Masoor,9,6,22,217,68,9.2
West Bengal,HOWRAH,2009,Rabi       ,Peas & beans (Pulses),23,15,22,217,68,9.2
West Bengal,HOWRAH,2009,Rabi       ,Rapeseed &Mustard,794,435,22,217,68,9.2
West Bengal,HOWRAH,2009,Rabi       ,Wheat,444,1039,22,217,68,9.2
West Bengal,HOWRAH,2009,Summer     ,Moong(Green Gram),155,51,29,225,70,9.5
West Bengal,HOWRAH,2009,Summer     ,Rice,49058,132079,29,225,70,9.5
West Bengal,HOWRAH,2009,Annual ,Coconut ,2854,31816.4,26,1656,75,8.9
West Bengal,HOWRAH,2009,Annual ,Dry chillies,343,324,26,1656,75,8.9
West Bengal,HOWRAH,2009,Annual ,Groundnut,2311,1543,26,1656,75,8.9
West Bengal,HOWRAH,2009,Annual ,Potato,6142,150051,26,1656,75,8.9
West Bengal,HOWRAH,2009,Annual ,Sesamum,2288,2422,26,1656,75,8.9
West Bengal,HOWRAH,2009,Annual ,Sugarcane,108,7865,26,1656,75,8.9
West Bengal,HOWRAH,2009,Annual ,Turmeric,135,313,26,1656,75,8.9
West Bengal,HOWRAH,2009,Winter     ,Rice,80267,165102,18,60,63,9.1
West Bengal,HOWRAH,2010,Autumn     ,Rice,1374,3612,27.1,394,85.1,8.2
